image_path,fen
C:\Users\moham\OneDrive\Bureau\chess\Capture d'écran 2026-02-20 180406.png,1rqr2k1/p4pp1/1pBPp1p1/1Pp5/2P3n1/P5P1/5P1P/R2QR1K1 w - - 0 1
C:\Users\moham\OneDrive\Bureau\chess\Capture d'écran 2026-02-20 194748.png,rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P2PP/8/PPP2P2/RNBQKBNR
